trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
4	39	429	25	45	0.609375	0.464285714285714	0.130111524163569	0.837109293056427	gbm.id2.cv3
4	39	432	22	45	0.639344262295082	0.464285714285714	0.12453531598513	0.837764841619465	gbm.id3.cv3
4	39	429	25	45	0.609375	0.464285714285714	0.130111524163569	0.83160268512691	gbm.id4.cv3
4	40	426	28	44	0.588235294117647	0.476190476190476	0.133828996282528	0.84468743444514	gbm.id1.cv3.top5
4	39	428	26	45	0.6	0.464285714285714	0.131970260223048	0.835431088735049	gbm.id2.cv3.top5
4	39	429	25	45	0.609375	0.464285714285714	0.130111524163569	0.833700440528629	gbm.id3.cv3.top5
4	40	432	22	44	0.645161290322581	0.476190476190476	0.122676579925651	0.836663520033564	gbm.id4.cv3.top5
5	43	415	22	58	0.661538461538462	0.425742574257426	0.148698884758364	0.796497269864287	gbm.id1.cv3
5	43	418	19	58	0.693548387096774	0.425742574257426	0.143122676579926	0.786143145206972	gbm.id2.cv3
5	42	419	18	59	0.7	0.415841584158416	0.143122676579926	0.788046310351861	gbm.id3.cv3
5	39	419	18	62	0.684210526315789	0.386138613861386	0.148698884758364	0.78351496476879	gbm.id4.cv3
5	42	415	22	59	0.65625	0.415841584158416	0.150557620817844	0.795126537825408	gbm.id1.cv3.top5
5	42	418	19	59	0.688524590163934	0.415841584158416	0.144981412639405	0.791614744998528	gbm.id2.cv3.top5
5	41	419	18	60	0.694915254237288	0.405940594059406	0.144981412639405	0.78093209778644	gbm.id3.cv3.top5
5	43	416	21	58	0.671875	0.425742574257426	0.146840148698885	0.788476788182253	gbm.id4.cv3.top5
6	41	423	19	55	0.683333333333333	0.427083333333333	0.137546468401487	0.827288367269985	gbm.id1.cv3
6	39	424	18	57	0.684210526315789	0.40625	0.139405204460966	0.828348887631974	gbm.id2.cv3
6	39	423	19	57	0.672413793103448	0.40625	0.141263940520446	0.828643476621419	gbm.id3.cv3
6	38	423	19	58	0.666666666666667	0.395833333333333	0.143122676579926	0.830481711915532	gbm.id4.cv3
6	42	422	20	54	0.67741935483871	0.4375	0.137546468401487	0.825226244343893	gbm.id1.cv3.top5
6	41	424	18	55	0.694915254237288	0.427083333333333	0.135687732342007	0.828077865761689	gbm.id2.cv3.top5
6	37	424	18	59	0.672727272727273	0.385416666666667	0.143122676579926	0.831589366515838	gbm.id3.cv3.top5
6	40	425	17	56	0.701754385964912	0.416666666666667	0.135687732342007	0.829939668174959	gbm.id4.cv3.top5
7	43	421	28	46	0.605633802816901	0.48314606741573	0.137546468401487	0.830059307825128	gbm.id1.cv3
7	38	425	24	51	0.612903225806452	0.426966292134831	0.139405204460966	0.830497234803932	gbm.id2.cv3
7	39	428	21	50	0.65	0.438202247191011	0.131970260223048	0.825680038037085	gbm.id3.cv3
7	37	428	21	52	0.637931034482759	0.415730337078652	0.135687732342007	0.823953354520657	gbm.id4.cv3
7	42	423	26	47	0.617647058823529	0.471910112359551	0.135687732342007	0.82217662220665	gbm.id1.cv3.top5
7	42	423	26	47	0.617647058823529	0.471910112359551	0.135687732342007	0.828607892695377	gbm.id2.cv3.top5
7	39	429	20	50	0.661016949152542	0.438202247191011	0.130111524163569	0.82620555041165	gbm.id3.cv3.top5
7	37	428	21	52	0.637931034482759	0.415730337078652	0.135687732342007	0.823778183729134	gbm.id4.cv3.top5
8	45	425	25	43	0.642857142857143	0.511363636363636	0.12639405204461	0.842095959595961	gbm.id1.cv3
8	43	426	24	45	0.641791044776119	0.488636363636364	0.128252788104089	0.842601010101011	gbm.id2.cv3
8	41	430	20	47	0.672131147540984	0.465909090909091	0.12453531598513	0.840454545454543	gbm.id3.cv3
8	40	431	19	48	0.677966101694915	0.454545454545455	0.12453531598513	0.842525252525253	gbm.id4.cv3
8	46	423	27	42	0.63013698630137	0.522727272727273	0.128252788104089	0.844242424242423	gbm.id1.cv3.top5
8	44	427	23	44	0.656716417910448	0.5	0.12453531598513	0.842676767676768	gbm.id2.cv3.top5
8	42	430	20	46	0.67741935483871	0.477272727272727	0.122676579925651	0.841994949494948	gbm.id3.cv3.top5
8	41	428	22	47	0.650793650793651	0.465909090909091	0.128252788104089	0.839444444444443	gbm.id4.cv3.top5
9	44	420	26	48	0.628571428571429	0.478260869565217	0.137546468401487	0.821968219925913	gbm.id1.cv3
9	40	421	25	52	0.615384615384615	0.434782608695652	0.143122676579926	0.823601091830766	gbm.id2.cv3
9	43	422	24	49	0.641791044776119	0.467391304347826	0.135687732342007	0.828499707545331	gbm.id3.cv3
9	43	423	23	49	0.651515151515151	0.467391304347826	0.133828996282528	0.828402222655486	gbm.id4.cv3
9	42	419	27	50	0.608695652173913	0.456521739130435	0.143122676579926	0.82559953207253	gbm.id1.cv3.top5
9	41	420	26	51	0.611940298507463	0.445652173913043	0.143122676579926	0.824965880288554	gbm.id2.cv3.top5
9	42	422	24	50	0.636363636363636	0.456521739130435	0.137546468401487	0.826891206862936	gbm.id3.cv3.top5
9	44	422	24	48	0.647058823529412	0.478260869565217	0.133828996282528	0.827110547865081	gbm.id4.cv3.top5
10	46	415	17	60	0.73015873015873	0.433962264150943	0.143122676579926	0.82807040531097	gbm.id1.cv3
10	43	416	16	63	0.728813559322034	0.405660377358491	0.146840148698885	0.817238819007687	gbm.id2.cv3
10	45	416	16	61	0.737704918032787	0.424528301886792	0.143122676579926	0.819509958071277	gbm.id3.cv3
10	43	417	15	63	0.741379310344828	0.405660377358491	0.144981412639405	0.817216981132076	gbm.id4.cv3
10	45	415	17	61	0.725806451612903	0.424528301886792	0.144981412639405	0.828725541579314	gbm.id1.cv3.top5
10	43	418	14	63	0.754385964912281	0.405660377358491	0.143122676579926	0.814498165618448	gbm.id2.cv3.top5
10	45	417	15	61	0.75	0.424528301886792	0.141263940520446	0.818723794549266	gbm.id3.cv3.top5
10	45	417	15	61	0.75	0.424528301886792	0.141263940520446	0.823113207547169	gbm.id4.cv3.top5
11	46	415	19	58	0.707692307692308	0.442307692307692	0.143122676579926	0.839529422190708	gbm.id1.cv3
11	45	415	19	59	0.703125	0.432692307692308	0.144981412639405	0.835774104927327	gbm.id2.cv3
11	46	418	16	58	0.741935483870968	0.442307692307692	0.137546468401487	0.83684863523573	gbm.id3.cv3
11	47	418	16	57	0.746031746031746	0.451923076923077	0.135687732342007	0.837158808932998	gbm.id4.cv3
11	46	414	20	58	0.696969696969697	0.442307692307692	0.144981412639405	0.841456930166604	gbm.id1.cv3.top5
11	47	417	17	57	0.734375	0.451923076923077	0.137546468401487	0.834012761432112	gbm.id2.cv3.top5
11	47	418	16	57	0.746031746031746	0.451923076923077	0.135687732342007	0.832417582417581	gbm.id3.cv3.top5
11	44	419	15	60	0.745762711864407	0.423076923076923	0.139405204460966	0.832306806097128	gbm.id4.cv3.top5
12	40	423	23	52	0.634920634920635	0.434782608695652	0.139405204460966	0.85245661922402	gbm.id1.cv3
12	39	427	19	53	0.672413793103448	0.423913043478261	0.133828996282528	0.839101189315656	gbm.id2.cv3
12	40	429	17	52	0.701754385964912	0.434782608695652	0.128252788104089	0.845608305712612	gbm.id3.cv3
12	39	427	19	53	0.672413793103448	0.423913043478261	0.133828996282528	0.842805615129651	gbm.id4.cv3
12	39	422	24	53	0.619047619047619	0.423913043478261	0.143122676579926	0.853163384675373	gbm.id1.cv3.top5
12	39	426	20	53	0.661016949152542	0.423913043478261	0.135687732342007	0.846193215051665	gbm.id2.cv3.top5
12	39	425	21	53	0.65	0.423913043478261	0.137546468401487	0.846120101384284	gbm.id3.cv3.top5
12	39	429	17	53	0.696428571428571	0.423913043478261	0.130111524163569	0.844999025151099	gbm.id4.cv3.top5
13	48	427	20	43	0.705882352941177	0.527472527472527	0.117100371747212	0.856429923544015	gbm.id1.cv3
13	47	429	18	44	0.723076923076923	0.516483516483517	0.115241635687732	0.85505322418074	gbm.id2.cv3
13	44	429	18	47	0.709677419354839	0.483516483516484	0.120817843866171	0.850357695995279	gbm.id3.cv3
13	44	428	19	47	0.698412698412698	0.483516483516484	0.122676579925651	0.850800206504904	gbm.id4.cv3
13	51	426	21	40	0.708333333333333	0.56043956043956	0.113382899628253	0.860019175455413	gbm.id1.cv3.top5
13	48	428	19	43	0.716417910447761	0.527472527472527	0.115241635687732	0.858396636920123	gbm.id2.cv3.top5
13	45	428	19	46	0.703125	0.494505494505495	0.120817843866171	0.853750276569069	gbm.id3.cv3.top5
13	45	428	19	46	0.703125	0.494505494505495	0.120817843866171	0.853234014307837	gbm.id4.cv3.top5
14	41	419	26	52	0.611940298507463	0.440860215053763	0.144981412639405	0.8332245982844	gbm.id1.cv3
14	39	420	25	54	0.609375	0.419354838709677	0.146840148698885	0.838250573879424	gbm.id2.cv3
14	39	419	26	54	0.6	0.419354838709677	0.148698884758364	0.837694816962666	gbm.id3.cv3
14	35	427	18	58	0.660377358490566	0.376344086021505	0.141263940520446	0.834191132052675	gbm.id4.cv3
14	41	420	25	52	0.621212121212121	0.440860215053763	0.143122676579926	0.838999637549835	gbm.id1.cv3.top5
14	39	421	24	54	0.619047619047619	0.419354838709677	0.144981412639405	0.836776609882807	gbm.id2.cv3.top5
14	39	425	20	54	0.661016949152542	0.419354838709677	0.137546468401487	0.833490395070676	gbm.id3.cv3.top5
14	36	424	21	57	0.631578947368421	0.387096774193548	0.144981412639405	0.837429020176392	gbm.id4.cv3.top5
15	38	426	27	47	0.584615384615385	0.447058823529412	0.137546468401487	0.816543306064151	gbm.id1.cv3
15	37	427	26	48	0.587301587301587	0.435294117647059	0.137546468401487	0.816854953902091	gbm.id2.cv3
15	36	429	24	49	0.6	0.423529411764706	0.135687732342007	0.809998701467344	gbm.id3.cv3
15	37	427	26	48	0.587301587301587	0.435294117647059	0.137546468401487	0.811453058044413	gbm.id4.cv3
15	36	422	31	49	0.537313432835821	0.423529411764706	0.148698884758364	0.814595507077005	gbm.id1.cv3.top5
15	37	424	29	48	0.560606060606061	0.435294117647059	0.143122676579926	0.817361381638752	gbm.id2.cv3.top5
15	36	428	25	49	0.590163934426229	0.423529411764706	0.137546468401487	0.815868069081939	gbm.id3.cv3.top5
15	37	425	28	48	0.569230769230769	0.435294117647059	0.141263940520446	0.814725360342817	gbm.id4.cv3.top5
16	45	418	17	58	0.725806451612903	0.436893203883495	0.139405204460966	0.83555406762638	gbm.id1.cv3
16	44	417	18	59	0.709677419354839	0.427184466019417	0.143122676579926	0.842004240598144	gbm.id2.cv3
16	45	418	17	58	0.725806451612903	0.436893203883495	0.139405204460966	0.838165383327753	gbm.id3.cv3
16	43	422	13	60	0.767857142857143	0.41747572815534	0.135687732342007	0.842093516348618	gbm.id4.cv3
16	47	417	18	56	0.723076923076923	0.456310679611651	0.137546468401487	0.834192612431648	gbm.id1.cv3.top5
16	45	419	16	58	0.737704918032787	0.436893203883495	0.137546468401487	0.837060595915632	gbm.id2.cv3.top5
16	45	418	17	58	0.725806451612903	0.436893203883495	0.139405204460966	0.837049436446826	gbm.id3.cv3.top5
16	41	421	14	62	0.745454545454545	0.398058252427184	0.141263940520446	0.836569579288023	gbm.id4.cv3.top5
17	39	432	13	54	0.75	0.419354838709677	0.12453531598513	0.848012564938989	gbm.id1.cv3
17	41	433	12	52	0.773584905660377	0.440860215053763	0.118959107806691	0.848471668478919	gbm.id2.cv3
17	40	437	8	53	0.833333333333333	0.43010752688172	0.113382899628253	0.850078530868671	gbm.id3.cv3
17	40	436	9	53	0.816326530612245	0.43010752688172	0.115241635687732	0.850356409327049	gbm.id4.cv3
17	37	430	15	56	0.711538461538462	0.397849462365591	0.131970260223048	0.8459345173372	gbm.id1.cv3.top5
17	36	434	11	57	0.765957446808511	0.387096774193548	0.12639405204461	0.846562764286576	gbm.id2.cv3.top5
17	39	434	11	54	0.78	0.419354838709677	0.120817843866171	0.847686359792194	gbm.id3.cv3.top5
17	37	434	11	56	0.770833333333333	0.397849462365591	0.12453531598513	0.849559018968225	gbm.id4.cv3.top5
18	50	410	34	44	0.595238095238095	0.531914893617021	0.144981412639405	0.82600153344834	gbm.id1.cv3
18	48	410	34	46	0.585365853658537	0.51063829787234	0.148698884758364	0.826552616446232	gbm.id2.cv3
18	49	409	35	45	0.583333333333333	0.521276595744681	0.148698884758364	0.826744297488977	gbm.id3.cv3
18	47	411	33	47	0.5875	0.5	0.148698884758364	0.82391700210849	gbm.id4.cv3
18	50	410	34	44	0.595238095238095	0.531914893617021	0.144981412639405	0.83215928694652	gbm.id1.cv3.top5
18	51	409	35	43	0.593023255813954	0.542553191489362	0.144981412639405	0.830338317040443	gbm.id2.cv3.top5
18	49	409	35	45	0.583333333333333	0.521276595744681	0.148698884758364	0.822479394287902	gbm.id3.cv3.top5
18	48	411	33	46	0.592592592592593	0.51063829787234	0.146840148698885	0.821041786467316	gbm.id4.cv3.top5
19	47	414	30	47	0.61038961038961	0.5	0.143122676579926	0.804533256660914	gbm.id1.cv3
19	43	408	36	51	0.544303797468354	0.457446808510638	0.161710037174721	0.804293655357482	gbm.id2.cv3
19	40	412	32	54	0.555555555555556	0.425531914893617	0.159851301115242	0.802328924669348	gbm.id3.cv3
19	42	409	35	52	0.545454545454545	0.446808510638298	0.161710037174721	0.801370519455623	gbm.id4.cv3
19	45	413	31	49	0.592105263157895	0.478723404255319	0.148698884758364	0.807288671650372	gbm.id1.cv3.top5
19	42	412	32	52	0.567567567567568	0.446808510638298	0.156133828996282	0.802376844930033	gbm.id2.cv3.top5
19	41	411	33	53	0.554054054054054	0.436170212765957	0.159851301115242	0.802496645581749	gbm.id3.cv3.top5
19	38	418	26	56	0.59375	0.404255319148936	0.152416356877323	0.797752539773814	gbm.id4.cv3.top5
20	41	422	25	50	0.621212121212121	0.450549450549451	0.139405204460966	0.847874720357939	gbm.id1.cv3
20	40	420	27	51	0.597014925373134	0.43956043956044	0.144981412639405	0.847112618924696	gbm.id2.cv3
20	40	421	26	51	0.606060606060606	0.43956043956044	0.143122676579926	0.846891363669884	gbm.id3.cv3
20	39	423	24	52	0.619047619047619	0.428571428571429	0.141263940520446	0.844236300612132	gbm.id4.cv3
20	42	422	25	49	0.626865671641791	0.461538461538462	0.137546468401487	0.846842195835481	gbm.id1.cv3.top5
20	41	423	24	50	0.630769230769231	0.450549450549451	0.137546468401487	0.844531307618553	gbm.id2.cv3.top5
20	40	422	25	51	0.615384615384615	0.43956043956044	0.141263940520446	0.847088035007497	gbm.id3.cv3.top5
20	39	421	26	52	0.6	0.428571428571429	0.144981412639405	0.840376625611523	gbm.id4.cv3.top5
21	46	423	24	45	0.657142857142857	0.505494505494505	0.128252788104089	0.844703395038964	gbm.id1.cv3
21	40	425	22	51	0.645161290322581	0.43956043956044	0.135687732342007	0.840204538191114	gbm.id2.cv3
21	41	425	22	50	0.650793650793651	0.450549450549451	0.133828996282528	0.834869828158417	gbm.id3.cv3
21	41	428	19	50	0.683333333333333	0.450549450549451	0.128252788104089	0.838041153477394	gbm.id4.cv3
21	45	420	27	46	0.625	0.494505494505495	0.135687732342007	0.846301349657053	gbm.id1.cv3.top5
21	40	423	24	51	0.625	0.43956043956044	0.139405204460966	0.840155370356711	gbm.id2.cv3.top5
21	43	425	22	48	0.661538461538462	0.472527472527473	0.130111524163569	0.839344101089067	gbm.id3.cv3.top5
21	39	425	22	52	0.639344262295082	0.428571428571429	0.137546468401487	0.837524891216166	gbm.id4.cv3.top5
22	42	416	24	56	0.636363636363636	0.428571428571429	0.148698884758364	0.825487012987012	gbm.id1.cv3
22	40	416	24	58	0.625	0.408163265306122	0.152416356877323	0.826136363636364	gbm.id2.cv3
22	38	417	23	60	0.622950819672131	0.387755102040816	0.154275092936803	0.825208719851577	gbm.id3.cv3
22	38	416	24	60	0.612903225806452	0.387755102040816	0.156133828996282	0.823666512059371	gbm.id4.cv3
22	43	415	25	55	0.632352941176471	0.438775510204082	0.148698884758364	0.82568413729128	gbm.id1.cv3.top5
22	40	416	24	58	0.625	0.408163265306122	0.152416356877323	0.825417439703154	gbm.id2.cv3.top5
22	37	417	23	61	0.616666666666667	0.377551020408163	0.156133828996282	0.824733302411874	gbm.id3.cv3.top5
22	38	417	23	60	0.622950819672131	0.387755102040816	0.154275092936803	0.813798701298702	gbm.id4.cv3.top5
23	38	409	21	70	0.644067796610169	0.351851851851852	0.169144981412639	0.818518518518518	gbm.id1.cv3
23	36	410	20	72	0.642857142857143	0.333333333333333	0.171003717472119	0.814039621016365	gbm.id2.cv3
23	38	410	20	70	0.655172413793103	0.351851851851852	0.16728624535316	0.813415159345391	gbm.id3.cv3
23	40	410	20	68	0.666666666666667	0.37037037037037	0.163568773234201	0.81472868217054	gbm.id4.cv3
23	38	409	21	70	0.644067796610169	0.351851851851852	0.169144981412639	0.81828165374677	gbm.id1.cv3.top5
23	39	411	19	69	0.672413793103448	0.361111111111111	0.163568773234201	0.812295434969853	gbm.id2.cv3.top5
23	39	410	20	69	0.661016949152542	0.361111111111111	0.16542750929368	0.814448751076656	gbm.id3.cv3.top5
23	37	411	19	71	0.660714285714286	0.342592592592593	0.16728624535316	0.813092161929371	gbm.id4.cv3.top5
24	44	426	21	47	0.676923076923077	0.483516483516484	0.12639405204461	0.848882660963195	gbm.id1.cv3
24	40	433	14	51	0.740740740740741	0.43956043956044	0.120817843866171	0.852373577205792	gbm.id2.cv3
24	40	434	13	51	0.754716981132076	0.43956043956044	0.118959107806691	0.855225311601149	gbm.id3.cv3
24	38	432	15	53	0.716981132075472	0.417582417582418	0.12639405204461	0.853504437397055	gbm.id4.cv3
24	44	427	20	47	0.6875	0.483516483516484	0.12453531598513	0.852299825454187	gbm.id1.cv3.top5
24	40	432	15	51	0.727272727272727	0.43956043956044	0.122676579925651	0.852398161122993	gbm.id2.cv3.top5
24	39	433	14	52	0.735849056603774	0.428571428571429	0.122676579925651	0.853873196155073	gbm.id3.cv3.top5
24	35	434	13	56	0.729166666666667	0.384615384615385	0.128252788104089	0.848858077045997	gbm.id4.cv3.top5
25	39	424	27	48	0.590909090909091	0.448275862068966	0.139405204460966	0.825470856589443	gbm.id1.cv3
25	39	424	27	48	0.590909090909091	0.448275862068966	0.139405204460966	0.826515788668859	gbm.id2.cv3
25	40	425	26	47	0.606060606060606	0.459770114942529	0.135687732342007	0.820220710044091	gbm.id3.cv3
25	39	426	25	48	0.609375	0.448275862068966	0.135687732342007	0.823380992430614	gbm.id4.cv3
25	40	424	27	47	0.597014925373134	0.459770114942529	0.137546468401487	0.826158982592959	gbm.id1.cv3.top5
25	40	425	26	47	0.606060606060606	0.459770114942529	0.135687732342007	0.820118765450976	gbm.id2.cv3.top5
25	40	425	26	47	0.606060606060606	0.459770114942529	0.135687732342007	0.819124805668119	gbm.id3.cv3.top5
25	40	425	26	47	0.606060606060606	0.459770114942529	0.135687732342007	0.814511812829726	gbm.id4.cv3.top5
26	44	412	26	56	0.628571428571429	0.44	0.152416356877323	0.83262557077626	gbm.id1.cv3
26	42	415	23	58	0.646153846153846	0.42	0.150557620817844	0.830525114155252	gbm.id2.cv3
26	41	414	24	59	0.630769230769231	0.41	0.154275092936803	0.833835616438359	gbm.id3.cv3
26	42	414	24	58	0.636363636363636	0.42	0.152416356877323	0.828173515981738	gbm.id4.cv3
26	44	411	27	56	0.619718309859155	0.44	0.154275092936803	0.835068493150688	gbm.id1.cv3.top5
26	45	414	24	55	0.652173913043478	0.45	0.146840148698885	0.834908675799088	gbm.id2.cv3.top5
26	42	411	27	58	0.608695652173913	0.42	0.157992565055762	0.833424657534249	gbm.id3.cv3.top5
26	43	414	24	57	0.641791044776119	0.43	0.150557620817844	0.831757990867584	gbm.id4.cv3.top5
27	40	423	18	57	0.689655172413793	0.412371134020619	0.139405204460966	0.844542628047789	gbm.id1.cv3
27	42	424	17	55	0.711864406779661	0.43298969072165	0.133828996282528	0.850877808167947	gbm.id2.cv3
27	35	424	17	62	0.673076923076923	0.360824742268041	0.146840148698885	0.843397152675506	gbm.id3.cv3
27	38	423	18	59	0.678571428571429	0.391752577319588	0.143122676579926	0.852023283540226	gbm.id4.cv3
27	37	423	18	60	0.672727272727273	0.381443298969072	0.144981412639405	0.845875119807379	gbm.id1.cv3.top5
27	36	422	19	61	0.654545454545455	0.371134020618557	0.148698884758364	0.845875119807376	gbm.id2.cv3.top5
27	37	423	18	60	0.672727272727273	0.381443298969072	0.144981412639405	0.84781541482573	gbm.id3.cv3.top5
27	35	424	17	62	0.673076923076923	0.360824742268041	0.146840148698885	0.849393365593664	gbm.id4.cv3.top5
28	39	432	23	44	0.629032258064516	0.469879518072289	0.12453531598513	0.824996690056933	gbm.id1.cv3
28	41	427	28	42	0.594202898550725	0.493975903614458	0.130111524163569	0.82266649013637	gbm.id2.cv3
28	40	429	26	43	0.606060606060606	0.481927710843373	0.128252788104089	0.819038792532765	gbm.id3.cv3
28	39	428	27	44	0.590909090909091	0.469879518072289	0.131970260223048	0.823566794651131	gbm.id4.cv3
28	41	430	25	42	0.621212121212121	0.493975903614458	0.12453531598513	0.822745928770026	gbm.id1.cv3.top5
28	41	431	24	42	0.630769230769231	0.493975903614458	0.122676579925651	0.820362769760357	gbm.id2.cv3.top5
28	38	427	28	45	0.575757575757576	0.457831325301205	0.135687732342007	0.822904806037333	gbm.id3.cv3.top5
28	41	431	24	42	0.630769230769231	0.493975903614458	0.122676579925651	0.82324904011651	gbm.id4.cv3.top5
29	34	423	18	63	0.653846153846154	0.350515463917526	0.150557620817844	0.82778128433504	gbm.id1.cv3
29	35	423	18	62	0.660377358490566	0.360824742268041	0.148698884758364	0.818196694485353	gbm.id2.cv3
29	33	423	18	64	0.647058823529412	0.34020618556701	0.152416356877323	0.817366809266662	gbm.id3.cv3
29	29	424	17	68	0.630434782608696	0.298969072164948	0.157992565055762	0.816759006007903	gbm.id4.cv3
