fileSize	URL	md5sum	friendlyname
660416542	https://www.encodedcc.org/files/ENCFF002BVI/@@download/ENCFF002BVI.fastq.gz	16242d1555533ff5a8f73d3d1c0d7c42	ENCSR445UYH_mm_embryonic_11.5day_neuraltube_ChIP-seq_H3K36me3_1_2
608232692	https://www.encodedcc.org/files/ENCFF002BVM/@@download/ENCFF002BVM.fastq.gz	3c96570a6e9554d768a3b3c92e5cf39b	ENCSR445UYH_mm_embryonic_11.5day_neuraltube_ChIP-seq_H3K36me3_2_2
649961202	https://www.encodedcc.org/files/ENCFF002BVL/@@download/ENCFF002BVL.fastq.gz	b5022cdce2ac6f81a740778c5e03fd30	ENCSR445UYH_mm_embryonic_11.5day_neuraltube_ChIP-seq_H3K36me3_2_1
671363273	https://www.encodedcc.org/files/ENCFF002BVK/@@download/ENCFF002BVK.fastq.gz	909805f1e7621c19f0ca71e555530615	ENCSR445UYH_mm_embryonic_11.5day_neuraltube_ChIP-seq_H3K36me3_1_1
